SexCode,MaritalCode,PrevEdCode,DDVeteran,DaysEnrollToStart,AgeAtStart,AgeAtGrad,GPA,MinutesAttended,HoursAttempt,HoursEarned,HoursReq,MinutesAbsent,TransferCredits,TransferGPA,MinEFC,MaxENTEntranceScore,gradFlag
F,UN,SOMECOLL,0,147,23,26,3.16,134338,2880,2700,2565,8082,23,NA,0,81.5,1
F,UN,SOMECOLL,0,103,22,25,2.95,136910,2700,2565,2565,2800,21,NA,0,79.5,1
F,M,BACH,0,135,22,25,3.27,103111,2520,2520,2565,2474,40,3.38,0,89.5,1
M,UN,ASSOC,0,117,22,25,2.63,60990,1245,1065,2565,2610,12,NA,0,84,0
F,UN,BACH,0,116,25,27,3.69,110310,2520,2520,2565,2990,34,NA,0,NA,1
M,UN,SOMECOLL,0,74,23,27,3.15,142550,3112.5,2565,2565,5705,16,NA,0,85.5,1
F,S,HS,0,59,18,21,3.43,137475,2520,2520,2565,900,NA,NA,11234,NA,1
F,UN,SOMECOLL,0,76,23,26,3.23,43765,1245,1155,2565,1475,25,NA,0,NA,0
M,S,BACH,0,199,28,31,3.43,126791,2617.5,2520,2565,4834,21,NA,9093,NA,1
F,UN,SOMECOLL,0,56,22,24,3.84,26850,975,810,2565,1050,21,NA,0,NA,0
M,NULL,SOMECOLL,0,82,24,27,3.35,135940,2565,2520,2565,2895,9,NA,0,82.5,1
F,UN,SOMECOLL,0,94,21,24,3.2,129945,2565,2520,2565,3915,15,NA,0,NA,1
F,UN,UN,0,137,30,33,0.6,13550,360,135,2565,1450,6,NA,1744,81,0
F,S,BACH,0,104,19,23,3.15,140957,2565,2520,2565,5773,NA,NA,0,89.5,1
M,UN,SOMECOLL,0,69,19,22,3,77057,1650,1515,2565,4798,11,NA,0,NA,0
F,NULL,BACH,0,87,27,30,3.46,117991,2565,2520,2565,6645,23,NA,623,NA,1
F,NULL,SOMECOLL,0,83,21,24,2.5,70320,1500,1335,2565,1045,10,2.65,0,NA,0
F,UN,SOMECOLL,0,125,25,28,2.19,20243,495,405,2565,3757,6,NA,0,87.5,0
F,S,BACH,0,110,24,27,3.06,121135,2610,2565,2565,6020,25,NA,0,NA,1
F,UN,SOMECOLL,0,129,23,25,3.14,39020,1335,1245,2565,1345,37,NA,0,NA,0
F,UN,SOMECOLL,0,129,22,24,3.28,116122,2842.5,2520,2565,3213,37,NA,0,NA,1
F,UN,SOMECOLL,0,30,28,30,3.5,4620,585,585,2250,300,39.67,2.9,0,83,0
F,UN,SOMECOLL,0,96,22,25,2.77,135077,2610,2520,2565,3358,6,NA,2201,81,1
F,UN,BACH,0,98,31,34,3.6,127292,2520,2520,2565,3738,18,NA,2647,88.5,1
M,UN,SOMECOLL,0,121,21,24,3.18,133817,2520,2520,2565,4633,3,NA,6740,NA,1
M,UN,BACH,0,70,29,32,2.52,55050,1200,1110,2565,705,18,NA,0,82,0
F,S,SOMECOLL,0,74,23,26,2.71,124464,2355,1965,2565,2941,10,2.86,0,77.5,0
F,NULL,HS,0,142,26,29,2.25,25425,720,495,2565,3075,12,NA,2632,85,0
F,UN,SOMECOLL,0,118,22,24,3.33,102524,2565,2520,2565,9436,34,NA,0,NA,1
F,NULL,SOMECOLL,0,116,19,21,3.46,103551,2520,2520,2565,9124,34,NA,0,NA,1
F,UN,SOMECOLL,0,77,22,25,1.32,14775,540,360,2565,1425,16,NA,0,82,0
F,NULL,SOMECOLL,0,69,20,23,3.24,121908,2520,2520,2565,8727,13,NA,0,NA,1
F,NULL,SOMECOLL,0,2,34,37,0,4725,450,360,2250,1575,32,2.75,0,NA,0
M,NULL,HS,0,132,18,21,3.26,150983,2700,2520,2565,2392,NA,NA,0,NA,1
M,UN,HS,0,97,45,49,2.81,114960,2032.5,1777.5,2565,4500,NA,NA,0,89,0
F,NULL,ASSOC,0,94,43,45,3.46,115512,2565,2520,2565,1263,30,3.3,0,NA,1
F,NULL,SOMECOLL,0,237,37,40,3.19,114411,2250,2250,2250,8364,16,NA,691,NA,1
M,UN,HS,0,145,22,26,3.21,131512,2565,2520,2565,5235,9,NA,0,80,1
F,UN,SOMECOLL,0,112,24,28,3.51,148905,2745,2520,2565,5070,NA,NA,0,NA,1
F,UN,SOMECOLL,0,80,25,27,3.28,93520,2295,2295,2250,650,44,2.71,100,84,1
F,UN,BACH,0,128,24,27,3.64,133350,2700,2520,2565,1920,19,NA,0,81,1
F,NULL,SOMECOLL,0,79,22,24,0,1800,765,675,2565,300,40,3.39,0,NA,0
F,M,BACH,0,171,28,31,3.57,131326,2520,2520,2565,329,18,3.37,957,83.5,1
M,UN,SOMECOLL,0,108,22,24,3.51,108010,2520,2520,2565,2015,31,3.1,0,NA,1
M,UN,HS,0,116,18,21,0,3300,135,0,2565,0,NA,NA,99999,82,0
F,S,SOMECOLL,0,93,21,24,2.82,137855,2932.5,2520,2565,9465,18,2.85,0,NA,1
F,UN,SOMECOLL,0,143,21,24,3.81,120593,2520,2520,2565,4612,17,NA,24323,NA,1
M,S,SOMECOLL,0,96,18,22,2.86,115520,2040,1965,2565,1285,NA,2.86,5015,NA,0
M,UN,SOMECOLL,0,158,19,22,2.02,30811,540,315,2565,1589,NA,NA,23994,80.4,0
F,NULL,SOMECOLL,0,139,21,23,3.58,14780,1065,900,2565,0,40,3.24,22023,NA,0
M,UN,SOMECOLL,0,101,21,24,2.35,76089,1515,1290,2250,5121,19,NA,59198,NA,0
F,UN,ASSOC,0,179,23,26,3.41,109351,2745,2520,2565,3734,37,NA,0,82.5,1
M,UN,SOMECOLL,0,117,19,22,3.48,127009,2520,2520,2565,4466,11,NA,0,NA,1
F,UN,SOMECOLL,0,123,23,27,2.32,45135,855,585,2565,5565,NA,NA,0,85,0
F,UN,SOMECOLL,0,93,24,27,3.46,137147,2520,2520,2565,4243,3,NA,1544,90,1
F,NULL,SOMECOLL,0,116,24,27,3.28,116018,2700,2520,2565,6667,24,NA,0,86,1
F,NULL,BACH,0,109,23,25,3.59,105240,2520,2520,2565,1215,36.04,3.14,0,NA,1
F,S,BACH,0,98,20,24,2.78,141937,2790,2610,2565,9588,12,NA,0,NA,1
F,S,BACH,0,94,23,26,3.25,117270,2700,2520,2565,2310,30,NA,0,NA,1
F,M,BACH,0,69,20,24,3.45,137100,2565,2520,2565,10785,NA,NA,0,72,1
M,NULL,SOMECOLL,0,61,25,28,2.97,35100,585,585,2250,600,10,3,0,86.5,0
M,S,SOMECOLL,0,47,28,32,3.27,141360,2595,2565,2565,1575,20,2.27,0,89.5,1
F,S,SOMECOLL,0,137,22,25,0,900,90,0,2565,600,NA,1.25,0,80.5,0
F,NULL,ASSOC,0,118,24,27,3.36,123920,2520,2520,2565,2400,14,2.67,0,80,1
F,S,BACH,0,73,26,28,3.62,109175,2610,2565,2565,1450,39,3.13,0,NA,1
F,NULL,SOMECOLL,0,39,25,28,1.83,21180,810,675,2565,900,24,3.24,0,85,0
F,UN,HS,0,81,21,24,2.6,85490,1515,1290,2565,4180,NA,NA,0,77.5,0
F,UN,SOMECOLL,0,72,24,26,3.33,108535,2520,2520,2565,1805,31,NA,2317,84,1
F,UN,SOMECOLL,0,109,22,24,3.55,108104,2520,2520,2565,3407,28,NA,0,85.5,1
F,NULL,SOMECOLL,0,199,23,26,3.31,118716,2887.5,2610,2565,2809,37,NA,0,79.5,1
F,UN,SOMECOLL,0,75,23,26,2.94,114457,2730,2565,2565,4748,33,NA,0,81.5,1
F,UN,SOMECOLL,0,114,19,25,1.49,15390,270,135,2565,810,NA,NA,1136,78.5,0
F,UN,SOMECOLL,0,163,23,26,2.11,51125,945,675,2565,5425,NA,NA,0,89.5,0
F,D,BACH,0,93,35,38,3.3,139708,2520,2520,2565,1650,NA,NA,0,82,1
F,UN,SOMECOLL,0,25,21,25,0.83,12202,360,45,2565,5198,NA,NA,0,NA,0
M,NULL,SOMECOLL,0,111,27,30,0,2400,315,180,2250,0,20,NA,0,88.5,0
M,UN,SOMECOLL,0,62,25,28,1.78,25200,450,315,2250,1500,10,NA,0,80,0
F,NULL,SOMECOLL,0,135,24,27,2.84,61773,1905,1455,2565,2157,40,NA,0,NA,0
M,S,HS,0,131,17,21,0,6285,135,0,2565,1815,NA,NA,0,80,0
M,UN,BACH,0,86,26,29,3.38,119353,2565,2520,2565,9197,16,NA,0,87.5,1
